tick,date,variant,clusters,sample_count
0,2022-11-29,XBB.1.5,1,1
19,2022-12-18,XBB.1.5,1,6
22,2022-12-21,XBB.2.3,1,48
32,2022-12-31,XBB.1.5,1,4
36,2023-01-04,XBB.1.5,1,1
37,2023-01-05,XBB.1.5,1,1
37,2023-01-05,XBB.1.5,1,1
39,2023-01-07,XBB.1.5,1,2
43,2023-01-11,XBB.1.5,1,1
44,2023-01-12,XBB.1.5,1,1
44,2023-01-12,XBB.1.5,1,1
46,2023-01-14,XBB.1.5,1,2
46,2023-01-14,XBB.1.5,1,2
48,2023-01-16,XBB.1.5,1,2
48,2023-01-16,XBB.1.5,1,1
48,2023-01-16,XBB.1.5,1,1
48,2023-01-16,XBB.1.5,1,1
48,2023-01-16,XBB.1.5,1,1
48,2023-01-16,XBB.1.5,1,1
49,2023-01-17,XBB.1.5,1,1
50,2023-01-18,XBB.1.5,1,2
51,2023-01-19,XBB.1.5,1,2
54,2023-01-22,XBB.1.5,1,2
54,2023-01-22,XBB.1.5,1,2
55,2023-01-23,XBB.1.5,1,3
55,2023-01-23,XBB.1.5,1,1
57,2023-01-25,XBB.1.5,1,6
58,2023-01-26,XBB.1.5,1,1
59,2023-01-27,XBB.1.5,1,6
60,2023-01-28,XBB.1.5,1,1
60,2023-01-28,XBB.1.5,1,1
62,2023-01-30,XBB.1.5,1,1
65,2023-02-02,XBB.1.5,1,2
65,2023-02-02,XBB.1.5,1,1
66,2023-02-03,XBB.1.5,1,1
66,2023-02-03,XBB.1.5,1,1
66,2023-02-03,XBB.1.5,1,1
67,2023-02-04,XBB.1.5,1,3
68,2023-02-05,XBB.1.5,1,1
69,2023-02-06,XBB.1.5,1,2
69,2023-02-06,XBB.1.5,1,1
70,2023-02-07,XBB.1.5,1,2
70,2023-02-07,XBB.1.5,1,1
71,2023-02-08,XBB.1.5,1,1
71,2023-02-08,XBB.1.5,1,1
71,2023-02-08,XBB.1.5,1,1
72,2023-02-09,XBB.1.5,1,2
72,2023-02-09,XBB.1.5,1,2
72,2023-02-09,XBB.1.5,1,1
